RNA,DNA
IFNB_THP1mac_ZC58_R,Naive_THP1macDeadCells_ZC57_D
IFNB_THP1mac_ZC62_R,Naive_THP1mac_ZC61_D
IFNB_THP1mac_ZC84_R,Naive_THP1mac_ZC83_D
IFNB_THP1mac_ZC87_R,Naive_THP1mac_ZC86_D
IFNB_THP1mac_ZC92_R,Naive_THP1mac_ZC91_D
IFNG_THP1mac_ZC59_R,Naive_THP1macDeadCells_ZC57_D
IFNG_THP1mac_ZC63_R,Naive_THP1mac_ZC61_D
IFNG_THP1mac_ZC85_R,Naive_THP1mac_ZC83_D
IFNG_THP1mac_ZC88_R,Naive_THP1mac_ZC86_D
IFNG_THP1mac_ZC93_R,Naive_THP1mac_ZC91_D
LPSIFNG_THP1mac_ZC114_R,LPSIFNG_THP1mac_ZC114_D
LPSIFNG_THP1mac_ZC115_R,LPSIFNG_THP1mac_ZC115_D
LPSIFNG_THP1mac_ZC125_R,LPSIFNG_THP1mac_ZC125_D
LPSIFNG_THP1mac_ZC89_R,Naive_THP1mac_ZC86_D
LPSIFNG_THP1mac_ZC94_R,Naive_THP1mac_ZC91_D
Naive_THP1mac_ZC55_R,Naive_THP1macDeadCells_ZC57_D
Naive_THP1mac_ZC56_R,Naive_THP1macDeadCells_ZC57_D
Naive_THP1mac_ZC57_R,Naive_THP1macDeadCells_ZC57_D
Naive_THP1mac_ZC61_R,Naive_THP1mac_ZC61_D
Naive_THP1mac_ZC82_R,Naive_THP1mac_ZC83_D
Naive_THP1mac_ZC83_R,Naive_THP1mac_ZC83_D
Naive_THP1mac_ZC86_R,Naive_THP1mac_ZC86_D
Naive_THP1mac_ZC91_R,Naive_THP1mac_ZC91_D
