group,barcode,n_cells,dropout_lt10,dropout_rate_lt10,median,mean
Control,1,256,84,0.328125,1817.0,4035.6328125
Control,2,256,78,0.3046875,1980.0,4123.65625
Control,3,256,106,0.4140625,1067.5,3983.875
Control,4,256,92,0.359375,1898.0,3971.8046875
Control,5,256,90,0.3515625,1975.0,4212.421875
Control,6,256,94,0.3671875,1978.0,4553.46875
Control,7,256,70,0.2734375,2676.5,4924.578125
Control,8,256,98,0.3828125,1874.5,4137.71875
Control,9,256,92,0.359375,3006.5,4504.0859375
Control,10,256,80,0.3125,2401.0,4698.125
Control,11,256,84,0.328125,1866.5,3999.1328125
Control,12,256,104,0.40625,1656.0,3609.0
Control,13,256,110,0.4296875,1859.5,3658.3515625
Control,14,256,78,0.3046875,2065.0,4255.140625
Control,15,256,100,0.390625,1780.5,4195.6328125
Control,16,256,100,0.390625,1938.5,3582.34375
Control,17,256,106,0.4140625,1155.5,3090.7421875
Control,18,256,86,0.3359375,1962.0,3665.1015625
Control,19,256,100,0.390625,1698.5,3950.4921875
Control,20,256,118,0.4609375,1191.0,2770.7265625
Control,21,256,88,0.34375,1985.0,4558.6015625
Control,22,256,120,0.46875,975.5,2686.3671875
Control,23,256,106,0.4140625,1528.5,3021.4375
Control,24,256,104,0.40625,1787.0,2826.6875
Control,25,256,102,0.3984375,1890.5,3874.53125
Control,26,256,102,0.3984375,1547.5,3838.5234375
Control,27,256,112,0.4375,1477.0,2771.21875
Control,28,256,92,0.359375,1811.5,3207.8125
Control,29,256,108,0.421875,1772.0,4053.109375
Control,30,256,92,0.359375,1870.0,3050.90625
Control,31,256,106,0.4140625,1859.0,3508.21875
Control,32,256,120,0.46875,50.5,3836.421875
NonControl,1,8144,5207,0.6393664047151277,1.0,1020.5121561886051
NonControl,2,8144,5183,0.6364194499017681,1.0,999.3419695481336
NonControl,3,8144,5168,0.6345776031434185,1.0,1066.0224705304518
NonControl,4,8144,5210,0.6397347740667977,1.0,932.0007367387034
NonControl,5,8144,5279,0.6482072691552063,1.0,978.360510805501
NonControl,6,8144,5083,0.6241404715127702,1.0,1023.3244106090373
NonControl,7,8144,5244,0.6439096267190569,1.0,1037.0583251473477
NonControl,8,8144,5122,0.6289292730844793,1.0,1042.5158398821218
NonControl,9,8144,5131,0.6300343811394892,1.0,989.2200392927308
NonControl,10,8144,5128,0.6296660117878192,1.0,1085.9727406679765
NonControl,11,8144,5198,0.6382612966601179,1.0,1080.0518172888017
NonControl,12,8144,5257,0.6455058939096268,1.0,983.5670432220039
NonControl,13,8144,5243,0.643786836935167,1.0,992.1607318271119
NonControl,14,8144,5132,0.6301571709233792,1.0,1057.3623526522592
NonControl,15,8144,5107,0.6270874263261297,1.0,1068.9689341846758
NonControl,16,8144,8144,1.0,0.0,0.0
NonControl,17,8144,8144,1.0,0.0,0.0
NonControl,18,8144,8144,1.0,0.0,0.0
NonControl,19,8144,8144,1.0,0.0,0.0
NonControl,20,8144,8144,1.0,0.0,0.0
NonControl,21,8144,8144,1.0,0.0,0.0
NonControl,22,8144,8144,1.0,0.0,0.0
NonControl,23,8144,8144,1.0,0.0,0.0
NonControl,24,8144,8144,1.0,0.0,0.0
NonControl,25,8144,8144,1.0,0.0,0.0
NonControl,26,8144,8144,1.0,0.0,0.0
NonControl,27,8144,8144,1.0,0.0,0.0
NonControl,28,8144,8144,1.0,0.0,0.0
NonControl,29,8144,8144,1.0,0.0,0.0
NonControl,30,8144,8144,1.0,0.0,0.0
NonControl,31,8144,8144,1.0,0.0,0.0
NonControl,32,8144,8144,1.0,0.0,0.0
