group,rep,allele,n_cells,dropout_lt10,dropout_rate_lt10,median,mean
Control,Rep1,ALT,1024,318,0.310546875,3418.0,5627.2470703125
Control,Rep1,REF,1024,318,0.310546875,3418.0,5627.2470703125
Control,Rep2,ALT,1024,383,0.3740234375,2257.5,4626.7841796875
Control,Rep2,REF,1024,383,0.3740234375,2257.5,4626.7841796875
Control,Rep3,ALT,1024,461,0.4501953125,1008.5,2413.6396484375
Control,Rep3,REF,1024,461,0.4501953125,1008.5,2413.6396484375
Control,Rep4,ALT,1024,399,0.3896484375,1091.0,2476.8125
Control,Rep4,REF,1024,399,0.3896484375,1091.0,2476.8125
NonControl,Rep1,ALT,32576,26405,0.8105660609037328,0.0,671.5395076129666
NonControl,Rep1,REF,32576,26535,0.8145567288801572,0.0,656.6445235756385
NonControl,Rep2,ALT,32576,26995,0.8286775540275049,0.0,628.3551387524558
NonControl,Rep2,REF,32576,27257,0.8367202848722987,0.0,637.4071709233792
NonControl,Rep3,ALT,32576,27627,0.8480783398821218,0.0,292.2583497053045
NonControl,Rep3,REF,32576,27692,0.850073673870334,0.0,280.7302308447937
NonControl,Rep4,ALT,32576,26886,0.8253315324165029,0.0,325.85443271119846
NonControl,Rep4,REF,32576,26743,0.8209417976424361,0.0,346.32066552062867
