group,rep1,rep2,n,pearson_log1p_all,n_both_ge10,pearson_log1p_both_ge10
Control,Rep1,Rep2,2048,0.44636919510789164,1058,0.004435481743257453
Control,Rep1,Rep3,2048,0.382721564074698,914,0.014771614270576073
Control,Rep1,Rep4,2048,0.35327643181471446,984,0.16463707592926538
Control,Rep2,Rep3,2048,0.3455460100532123,832,-0.05823119987787856
Control,Rep2,Rep4,2048,0.3745147558991987,930,0.09768714334074553
Control,Rep3,Rep4,2048,0.29309904610514426,792,0.1317728002822256
NonControl,Rep1,Rep2,65152,0.44606280511562785,5321,-0.015024599014572185
NonControl,Rep1,Rep3,65152,0.41902365201493463,4819,-0.20775700817876197
NonControl,Rep1,Rep4,65152,0.39086762060435665,5408,0.04247978439534157
NonControl,Rep2,Rep3,65152,0.4089560144996574,4347,-0.24288919363258055
NonControl,Rep2,Rep4,65152,0.38579794173718385,4994,0.03826663156440464
NonControl,Rep3,Rep4,65152,0.343188146588428,4395,0.05794079499003441
All,Rep1,Rep2,67200,0.4772131369186254,6379,0.023470007246271535
All,Rep1,Rep3,67200,0.44794579490422826,5733,-0.09776433593862673
All,Rep1,Rep4,67200,0.42320570877386765,6392,0.12991862116453645
All,Rep2,Rep3,67200,0.43542299480685975,5179,-0.1498224637382454
All,Rep2,Rep4,67200,0.4178526254104593,5924,0.09884483395588639
All,Rep3,Rep4,67200,0.37357603985154303,5187,0.1679762270996633
