group,target_rep,n_train,intercept,slope,train_r2,train_rmse_log1p,n_candidate_dropout_lt10_with_2_other_ge10,candidate_imputed_median_count,candidate_imputed_mean_count
Control,Rep1,1056,7.118908199428109,0.16950368521447817,0.007685018262268528,1.4635336369085417,226,4606.47900026007,4656.224452887673
Control,Rep2,1026,8.18980578306774,0.02125466474617562,0.00011259204629687769,1.5199714071036132,332,4259.291629813741,4253.890321816305
Control,Rep3,898,7.766824995080415,0.03448802941524738,0.0011078080044395477,0.9646786842990563,486,3133.782635428467,3134.205059298201
Control,Rep4,952,5.784069575470699,0.2628021915105957,0.04323350868494369,1.0029904796323315,372,2819.1996115598927,2802.9702244837617
NonControl,Rep1,4847,8.948611635839136,-0.16242805666933835,0.006728323997092445,1.3580394908442717,4481,2327.9900696075197,2334.4093731481607
NonControl,Rep2,4653,9.172816055058576,-0.1855599025915312,0.009342335498814802,1.3388389061864807,5173,2467.016178498697,2474.4362240037112
NonControl,Rep3,4338,9.032839946352592,-0.22509616138269434,0.0477228997175243,0.8908523273234086,5959,1500.8682434675654,1513.8320964994286
NonControl,Rep4,4535,6.635064824238005,0.0867932263840497,0.0060495239790132604,0.8069031913944714,4920,1472.3699380396065,1469.6492753578636
All,Rep1,5903,7.401456213871071,0.061335325533405434,0.0010613249272974912,1.4134726391218517,4707,2575.612294496524,2578.607852264949
All,Rep2,5679,7.982569783094346,-0.012209120122616606,4.5228686903597826e-05,1.3963095008027027,5505,2676.327631231764,2676.100757422479
All,Rep3,5236,7.957828647956391,-0.06586536099555872,0.004159963134482081,0.9606532090420825,6445,1723.5975387218248,1723.753058527969
All,Rep4,5487,5.655374746202142,0.22625528092435918,0.04055464222680816,0.8725296458248925,5292,1609.9837251489594,1616.5016967363265
